# 博士(医师)信息管理系统 数据文件  v2.1
# 字段顺序: workId|idCard|active|name|gender|birth|education|degree|major|position|title|dept|field
# 工号 workId 为 8 位结构化编号: 科室(1) 领域(1) 职称(1) 姓(2) 名(3)
#   active 为不外显标识符: 1=在岗, 0=空位(已离职，工号可被重用)
# 枚举字段以序号存储，对照表如下:
#   gender   : 0=男 1=女
#   education: 0=大专 1=本科 2=硕士 3=博士 4=博士后
#   degree   : 0=无 1=学士 2=硕士 3=博士
#   position : 0=医师 1=副主任 2=主任 3=副院长 4=院长
#   title    : 0=住院医师 1=主治医师 2=副主任医师 3=主任医师
#   dept     : 0=内科 1=外科 2=妇产科 3=儿科 4=急诊科 5=影像科
#   field    : 0=临床 1=科研 2=教学 3=管理
# 栏位总数: 120, 在岗: 120, 空位: 0
13346202|110037196008021144|1|魏志娜|1|1960-08-02|3|3|神经病学|0|3|1|3
41339224|110074197508221261|1|蒋国刚|1|1975-08-22|3|3|神经外科学|1|3|4|1
51137634|110111199404021395|1|潘春波|0|1994-04-02|3|3|麻醉学|0|1|5|1
32345849|110148197502251534|1|苏慧|0|1975-02-25|4|3|神经外科学|0|3|3|2
33026791|110185200007071663|1|许丽刚|1|2000-07-07|1|1|消化系病学|1|0|3|3
03315327|110222198511241780|1|胡望敏|1|1985-11-24|3|3|呼吸系病学|1|3|0|3
00360024|11025919660311191X|1|金秀|0|1966-03-11|3|3|急诊医学|0|3|0|0
23332222|110296196908232044|1|曾兰霞|1|1969-08-23|3|3|麻醉学|0|3|2|3
12331920|110333196001132184|1|彭梦倩|1|1960-01-13|3|3|肿瘤学|0|3|1|2
03320674|11037019690318230X|1|罗思|1|1969-03-18|4|3|内分泌与代谢病学|0|3|0|3
32359131|11040719660717244X|1|范启|1|1966-07-17|3|3|骨科学|1|3|3|2
20321167|110444196301122572|1|郑立|0|1963-01-12|3|3|骨科学|0|3|2|0
20338597|110481197802152709|1|于望|1|1978-02-15|4|3|内分泌与代谢病学|4|3|2|0
01245849|110518199203202823|1|苏雪|1|1992-03-20|2|2|内分泌与代谢病学|0|2|0|1
